_id,longitude,latitude,floor
3000,114.2630638,22.41782734,3
3001,114.2630638,22.41775298,3
3002,114.2630638,22.41769721,3
3003,114.2630614,22.41762285,3
3004,114.2630828,22.41758568,3
3005,114.2630923,22.41751132,3
3006,114.2631017,22.4173626,3
3007,114.2631349,22.41712094,3
3008,114.2631634,22.41695364,3
3009,114.2631823,22.41673056,3
3010,114.2631847,22.41667479,3
3011,114.2631942,22.4168421,3
3012,114.2631966,22.41673056,3
3013,114.2631752,22.41645172,3
3014,114.26318,22.41639595,3
3015,114.2631752,22.41639595,3
3016,114.2631752,22.41635877,3
3017,114.26318,22.41628442,3
3018,114.26318,22.41624724,3
3019,114.2631681,22.41624724,3
3020,114.2631657,22.41624724,3
3021,114.2631657,22.41621006,3
3022,114.26318,22.4161357,3
3023,114.26318,22.41609852,3
3024,114.26318,22.41609852,3
3025,114.26318,22.41598699,3
3026,114.2631776,22.41598699,3
3027,114.2631657,22.41598699,3
3028,114.2631657,22.41594981,3
3029,114.2631776,22.41598699,3
3030,114.26318,22.41593122,3
3031,114.26318,22.41581968,3
3032,114.26318,22.4157825,3
3033,114.2631776,22.41572674,3
3034,114.2631657,22.41572674,3
3035,114.2631657,22.41567097,3
3036,114.2631657,22.41567097,3
3037,114.2631776,22.41572674,3
3038,114.26318,22.41567097,3
3039,114.26318,22.41563379,3
3040,114.26318,22.41555943,3
3041,114.26318,22.41552225,3
3042,114.26318,22.41537354,3
3043,114.2631705,22.41537354,3
3044,114.263161,22.41537354,3
3045,114.2631729,22.41537354,3
3046,114.2631705,22.415262,3
3047,114.2631895,22.41537354,3
3048,114.2631989,22.41511328,3
3049,114.2632037,22.4150947,3
3050,114.2631918,22.41537354,3
3051,114.2631942,22.41537354,3
3052,114.2632108,22.41537354,3
3053,114.2632155,22.41537354,3
3054,114.263206,22.41528059,3
3055,114.263206,22.41524341,3
3056,114.263225,22.41522482,3
3057,114.263225,22.41524341,3
3058,114.263225,22.41533636,3
3059,114.2632297,22.41537354,3
3060,114.2632345,22.41537354,3
3061,114.2632487,22.41537354,3
3062,114.263244,22.41535495,3
3063,114.263244,22.41528059,3
3064,114.2632535,22.41528059,3
3065,114.2632535,22.41533636,3
3066,114.2632535,22.41537354,3
3067,114.26327,22.41537354,3
3068,114.2632724,22.41537354,3
3069,114.2632724,22.41524341,3
3070,114.2632724,22.41522482,3
3071,114.2632724,22.41533636,3
3072,114.263289,22.41537354,3
3073,114.2632914,22.41537354,3
3074,114.2633032,22.41528059,3
3075,114.2633032,22.41524341,3
3076,114.263308,22.41511328,3
3077,114.263289,22.41505752,3
3078,114.2632961,22.41505752,3
3079,114.2633056,22.41505752,3
3080,114.2633483,22.41624724,3
3081,114.2633578,22.41624724,3
3082,114.2633269,22.41628442,3
3083,114.2633269,22.41624724,3
3084,114.2633269,22.4161357,3
3085,114.2633269,22.41609852,3
3086,114.2633269,22.41607993,3
3087,114.2633269,22.4159684,3
3088,114.2633269,22.41593122,3
3089,114.2633269,22.41589404,3
3090,114.2633269,22.41581968,3
3091,114.2633269,22.4157825,3
3092,114.2633269,22.41570815,3
3093,114.2633269,22.41567097,3
3094,114.2633269,22.41563379,3
3095,114.2633269,22.41555943,3
