_id,latitude,longitude,floor
3000,114.2630638,22.33831066,3
3001,114.2630638,22.33838502,3
3002,114.2630638,22.33844079,3
3003,114.2630614,22.33851515,3
3004,114.2630828,22.33855232,3
3005,114.2630923,22.33862668,3
3006,114.2631017,22.3387754,3
3007,114.2631349,22.33901706,3
3008,114.2631634,22.33918436,3
3009,114.2631823,22.33940744,3
3010,114.2631847,22.33946321,3
3011,114.2631942,22.3392959,3
3012,114.2631966,22.33940744,3
3013,114.2631752,22.33968628,3
3014,114.26318,22.33974205,3
3015,114.2631752,22.33974205,3
3016,114.2631752,22.33977923,3
3017,114.26318,22.33985358,3
3018,114.26318,22.33989076,3
3019,114.2631681,22.33989076,3
3020,114.2631657,22.33989076,3
3021,114.2631657,22.33992794,3
3022,114.26318,22.3400023,3
3023,114.26318,22.34003948,3
3024,114.26318,22.34003948,3
3025,114.26318,22.34015101,3
3026,114.2631776,22.34015101,3
3027,114.2631657,22.34015101,3
3028,114.2631657,22.34018819,3
3029,114.2631776,22.34015101,3
3030,114.26318,22.34020678,3
3031,114.26318,22.34031832,3
3032,114.26318,22.3403555,3
3033,114.2631776,22.34041126,3
3034,114.2631657,22.34041126,3
3035,114.2631657,22.34046703,3
3036,114.2631657,22.34046703,3
3037,114.2631776,22.34041126,3
3038,114.26318,22.34046703,3
3039,114.26318,22.34050421,3
3040,114.26318,22.34057857,3
3041,114.26318,22.34061575,3
3042,114.26318,22.34076446,3
3043,114.2631705,22.34076446,3
3044,114.263161,22.34076446,3
3045,114.2631729,22.34076446,3
3046,114.2631705,22.340876,3
3047,114.2631895,22.34076446,3
3048,114.2631989,22.34102472,3
3049,114.2632037,22.3410433,3
3050,114.2631918,22.34076446,3
3051,114.2631942,22.34076446,3
3052,114.2632108,22.34076446,3
3053,114.2632155,22.34076446,3
3054,114.263206,22.34085741,3
3055,114.263206,22.34089459,3
3056,114.263225,22.34091318,3
3057,114.263225,22.34089459,3
3058,114.263225,22.34080164,3
3059,114.2632297,22.34076446,3
3060,114.2632345,22.34076446,3
3061,114.2632487,22.34076446,3
3062,114.263244,22.34078305,3
3063,114.263244,22.34085741,3
3064,114.2632535,22.34085741,3
3065,114.2632535,22.34080164,3
3066,114.2632535,22.34076446,3
3067,114.26327,22.34076446,3
3068,114.2632724,22.34076446,3
3069,114.2632724,22.34089459,3
3070,114.2632724,22.34091318,3
3071,114.2632724,22.34080164,3
3072,114.263289,22.34076446,3
3073,114.2632914,22.34076446,3
3074,114.2633032,22.34085741,3
3075,114.2633032,22.34089459,3
3076,114.263308,22.34102472,3
3077,114.263289,22.34108048,3
3078,114.2632961,22.34108048,3
3079,114.2633056,22.34108048,3
3080,114.2633483,22.33989076,3
3081,114.2633578,22.33989076,3
3082,114.2633269,22.33985358,3
3083,114.2633269,22.33989076,3
3084,114.2633269,22.3400023,3
3085,114.2633269,22.34003948,3
3086,114.2633269,22.34005807,3
3087,114.2633269,22.3401696,3
3088,114.2633269,22.34020678,3
3089,114.2633269,22.34024396,3
3090,114.2633269,22.34031832,3
3091,114.2633269,22.3403555,3
3092,114.2633269,22.34042985,3
3093,114.2633269,22.34046703,3
3094,114.2633269,22.34050421,3
3095,114.2633269,22.34057857,3
3096,114.2633269,22.34061575,3
3097,114.2633483,22.3407087,3
3098,114.263372,22.34055998,3
3099,114.263372,22.34048562,3
3100,114.2633672,22.3405228,3
3101,114.2633672,22.34048562,3
3102,114.2633886,22.33989076,3
3103,114.2634146,22.33989076,3
3104,114.2634146,22.33992794,3
3105,114.2634146,22.3400023,3
3106,114.2634146,22.34005807,3
3107,114.2634146,22.34005807,3
3108,114.2634146,22.3401696,3
3109,114.2634146,22.34024396,3
3110,114.2634146,22.34020678,3
3111,114.2634146,22.34031832,3
3112,114.2634146,22.3403555,3
3113,114.2634146,22.34042985,3
3114,114.2634146,22.34046703,3
3115,114.2634146,22.34050421,3
3116,114.2634146,22.34057857,3
3117,114.2634146,22.34061575,3
3118,114.2633981,22.34069011,3
3119,114.2634052,22.34069011,3
3120,114.2634146,22.3407087,3
3121,114.2634146,22.34082023,3
3122,114.2634194,22.34082023,3
3123,114.2634289,22.34085741,3
3124,114.2634431,22.34085741,3
3125,114.2634478,22.34085741,3
3126,114.2634644,22.34085741,3
3127,114.2634478,22.34076446,3
3128,114.2634478,22.34072728,3
3129,114.2634549,22.34072728,3
3130,114.2634549,22.34074587,3
3131,114.2634502,22.34076446,3
3132,114.2634739,22.34085741,3
3133,114.2634881,22.34069011,3
3134,114.2634881,22.3407087,3
3135,114.2634786,22.34085741,3
3136,114.2634692,22.34085741,3
3137,114.2634834,22.34085741,3
3138,114.2634881,22.34085741,3
3139,114.2634881,22.34083882,3
3140,114.2634929,22.34072728,3
3141,114.2634929,22.3407087,3
3142,114.2635118,22.34082023,3
3143,114.2635213,22.34082023,3
3144,114.2635261,22.34072728,3
3145,114.2635261,22.34069011,3
3146,114.2635284,22.34069011,3
3147,114.2635284,22.34072728,3
3148,114.2635261,22.34082023,3
3149,114.2635355,22.34082023,3
3150,114.2635592,22.340876,3
3151,114.2635592,22.34091318,3
3152,114.2635592,22.3410433,3
3153,114.2635592,22.34108048,3
3154,114.2635592,22.34119202,3
3155,114.2635616,22.34119202,3
3156,114.263564,22.34119202,3
3157,114.2635758,22.34119202,3
3158,114.2635592,22.34072728,3
3159,114.2635901,22.34069011,3
3160,114.2635901,22.34082023,3
3161,114.2636043,22.34069011,3
3162,114.2636043,22.34055998,3
3163,114.2636043,22.34048562,3
3164,114.2636019,22.34048562,3
3165,114.2636019,22.3405228,3
3166,114.2635592,22.34072728,3
3167,114.2635592,22.34069011,3
3168,114.2635592,22.34059716,3
3169,114.2635592,22.34054139,3
3170,114.2635664,22.34054139,3
3171,114.2635664,22.34050421,3
3172,114.2635592,22.34042985,3
3173,114.2635592,22.34039268,3
3174,114.2635664,22.34031832,3
3175,114.2635592,22.34028114,3
3176,114.2635592,22.34022537,3
3177,114.2635664,22.3401696,3
3178,114.2635758,22.34031832,3
3179,114.2635592,22.34013242,3
3180,114.2635592,22.34007666,3
3181,114.2635758,22.34003948,3
3182,114.263564,22.3400023,3
3183,114.2635758,22.3400023,3
3184,114.2635592,22.33996512,3
3185,114.2635592,22.33992794,3
3186,114.2635664,22.33989076,3
3187,114.2635853,22.33989076,3
3188,114.2635901,22.33989076,3
3189,114.2636232,22.33989076,3
3190,114.2636422,22.33989076,3
