_id,latitude,longitude,floor
3000,114.2630751,22.33798055,3
3001,114.2630798,22.33791615,3
3002,114.2630834,22.33786785,3
3003,114.2630861,22.33779416,3
3004,114.2631069,22.33784562,3
3005,114.2631199,22.3378184,3
3006,114.2631376,22.33772679,3
3007,114.2631817,22.33764763,3
3008,114.263217,22.33761427,3
3009,114.2632477,22.33749545,3
3010,114.2632533,22.33745644,3
3011,114.2632508,22.33763851,3
3012,114.26326,22.33755121,3
3013,114.2632593,22.33722608,3
3014,114.2632669,22.33719637,3
3015,114.2632628,22.33717778,3
3016,114.2632652,22.33714558,3
3017,114.2632741,22.33709978,3
3018,114.2632764,22.33706758,3
3019,114.2632662,22.33702111,3
3020,114.2632641,22.33701181,3
3021,114.2632665,22.33697961,3
3022,114.2632835,22.33697099,3
3023,114.2632859,22.33693879,3
3024,114.2632859,22.33693879,3
3025,114.263293,22.3368422,3
3026,114.263291,22.3368329,3
3027,114.2632807,22.33678643,3
3028,114.2632831,22.33675423,3
3029,114.263291,22.3368329,3
3030,114.2632966,22.3367939,3
3031,114.2633037,22.33669731,3
3032,114.2633061,22.33666511,3
3033,114.2633076,22.33660752,3
3034,114.2632973,22.33656104,3
3035,114.2633009,22.33651275,3
3036,114.2633009,22.33651275,3
3037,114.2633076,22.33660752,3
3038,114.2633132,22.33656851,3
3039,114.2633155,22.33653632,3
3040,114.2633203,22.33647192,3
3041,114.2633227,22.33643972,3
3042,114.2633321,22.33631093,3
3043,114.2633239,22.33627375,3
3044,114.2633157,22.33623657,3
3045,114.263326,22.33628305,3
3046,114.263331,22.33617716,3
3047,114.2633403,22.33634811,3
3048,114.2633652,22.3361599,3
3049,114.2633704,22.3361624,3
3050,114.2633424,22.33635741,3
3051,114.2633445,22.3363667,3
3052,114.2633588,22.33643176,3
3053,114.2633629,22.33645035,3
3054,114.2633606,22.33633268,3
3055,114.263363,22.33630048,3
3056,114.2633806,22.33635874,3
3057,114.2633794,22.33637484,3
3058,114.2633735,22.33645533,3
3059,114.2633752,22.33650612,3
3060,114.2633794,22.33652471,3
3061,114.2633917,22.33658048,3
3062,114.2633887,22.33654579,3
3063,114.2633935,22.33648139,3
3064,114.2634017,22.33651857,3
3065,114.2633981,22.33656687,3
3066,114.2633958,22.33659907,3
3067,114.2634101,22.33666413,3
3068,114.2634122,22.33667342,3
3069,114.2634205,22.33656073,3
3070,114.2634217,22.33654463,3
3071,114.2634146,22.33664123,3
