_id,ftype,fname,nid,metadata
641,2,2136-38,2379,
642,2,2140,2380,
643,2,2141,2381,
644,2,2142,2382,
645,2,2143,2383,
646,2,2144,2384,
647,2,2145,2385,
648,2,2146,2386,
649,8,2147,2387,
650,2,2148,2388,
651,2,2149,2389,
652,9,Staircase,2390,
653,2,2150,2391,
654,2,2151,2392,
655,2,2152,2393,
656,2,2153,2394,
657,2,2154,2395,
658,8,2158,2396,
659,2,2159,2397,
660,2,2160,2398,
661,1,LTJ,2399,
662,4,F,2400,
663,4,M,2401,
664,9,Staircase,2402,
665,8,2162A,2403,
666,2,2162,2404,
667,9,Staircase,2405,
668,2,2164,2406,
669,8,2165,2407,
670,2,2166,2408,
671,9,Staircase,2409,
672,5,LIFT 33,2410,
673,7,turning point,2411,
674,7,turning point,2412,
675,7,turning point,2413,
676,7,turning point,2414,
677,7,turning point,2415,
678,7,turning point,2416,
679,7,turning point,2417,
680,7,turning point,2418,
681,7,turning point,2419,
682,7,turning point,2420,
683,7,turning point,2421,
684,7,turning point,2422,
685,7,turning point,2423,
686,7,turning point,2424,
687,7,turning point,2425,
688,7,turning point,2426,
689,7,turning point,2427,
690,7,turning point,2428,
691,7,turning point,2429,
692,7,turning point,2430,
693,7,turning point,2431,
694,7,turning point,2432,
695,7,turning point,2433,
696,7,turning point,2434,
697,7,turning point,2435,
698,7,turning point,2436,
699,7,turning point,2437,
700,7,turning point,2438,
701,7,turning point,2439,
702,7,turning point,2440,
703,7,turning point,2441,
704,7,turning point,2442,
705,7,turning point,2516,
706,7,turning point,2443,
707,7,turning point,2444,
708,7,turning point,2445,
709,7,turning point,2446,
710,7,turning point,2447,
711,7,turning point,2448,
712,7,turning point,2449,
713,7,turning point,2450,
714,7,turning point,2451,
715,7,turning point,2452,
716,7,turning point,2453,
717,7,turning point,2454,
718,7,turning point,2455,
719,7,turning point,2456,
720,7,turning point,2457,
721,7,turning point,2458,
722,7,turning point,2459,
723,7,turning point,2460,
724,7,turning point,2461,
725,7,turning point,2462,
726,7,turning point,2463,
727,7,turning point,2464,
728,7,turning point,2465,
729,7,turning point,2466,
730,7,turning point,2467,
731,7,turning point,2468,
732,7,turning point,2469,
733,7,turning point,2470,
734,7,turning point,2471,
735,7,turning point,2472,
736,7,turning point,2473,
737,7,turning point,2474,
738,7,turning point,2475,
739,7,turning point,2476,
740,7,turning point,2477,
741,7,turning point,2478,
742,7,turning point,2479,
743,7,turning point,2480,
744,7,turning point,2481,
745,7,turning point,2482,
746,7,turning point,2483,
747,7,turning point,2484,
748,7,turning point,2485,
749,7,turning point,2486,
750,7,turning point,2487,
751,7,turning point,2488,
752,7,turning point,2489,
753,7,turning point,2490,
754,7,turning point,2491,
755,7,turning point,2492,
756,7,turning point,2493,
757,7,turning point,2494,
758,7,turning point,2495,
759,7,turning point,2496,
760,7,turning point,2497,
761,7,turning point,2498,
762,7,turning point,2499,
763,7,turning point,2500,
764,7,turning point,2501,
765,7,turning point,2502,
766,7,turning point,2503,
767,7,turning point,2504,
768,7,turning point,2505,
769,7,turning point,2506,
770,7,turning point,2507,
771,7,turning point,2508,
772,7,turning point,2509,
773,7,turning point,2510,
774,7,turning point,2511,
775,7,turning point,2512,
776,7,turning point,2513,
777,8,F,2514,
778,8,2394A,2515,
779,2,3001,3000,
780,8,3002,3001,
781,9,Staircase,3002,
782,5,LIFT 4,3003,
783,8,3003,3004,
784,2,3005,3005,
785,2,3006,3006,
786,2,3007,3007,
787,2,3008,3008,
788,9,Staircase,3009,
789,5,LIFT 3,3010,
790,4,M,3011,
791,2,3011-3017,3012,
792,2,3331,3013,
793,2,3332,3014,
794,2,3333,3015,
795,2,3334,3016,
796,2,3335,3017,
797,2,3336,3018,
798,2,3337,3019,
799,2,3338,3020,
800,2,3339,3021,
801,2,3340,3022,
802,2,3341,3023,
803,2,3342,3024,
804,2,3343,3025,
805,2,3344,3026,
806,2,3345,3027,
807,2,3346,3028,
808,2,3347,3029,
809,2,3348,3030,
810,2,3349,3031,
811,2,3350,3032,
812,2,3351,3033,
813,2,3352,3034,
814,2,3353,3035,
815,2,3354,3036,
816,2,3355,3037,
817,2,3356,3038,
818,2,3357,3039,
819,2,3358,3040,
820,2,3359,3041,
821,2,3360,3042,
822,8,3361,3043,
823,8,3362,3044,
824,8,3363,3045,
825,8,3364,3046,
826,2,3365,3047,
827,9,Staircase,3048,
828,4,F,3049,
829,2,3366,3050,
830,2,3367,3051,
831,2,3368,3052,
832,2,3369,3053,
833,2,3370,3054,
834,2,3371,3055,
835,2,3373,3056,
836,2,3374,3057,
837,2,3375,3058,
838,2,3376,3059,
839,2,3377,3060,
840,2,3378,3061,
841,2,3379,3062,
842,2,3380,3063,
843,2,3381,3064,
844,2,3382,3065,
845,2,3383,3066,
846,2,3384,3067,
847,2,3385,3068,
848,2,3386,3069,
849,2,3387,3070,
850,2,3388,3071,
851,2,3389,3072,
852,2,3390,3073,
853,2,3391,3074,
854,2,3392,3075,
855,9,Staircase,3076,
856,5,LIFT 13,3077,
857,5,LIFT 14,3078,
858,5,LIFT 15,3079,
859,2,3301,3080,
860,9,Staircase,3081,
861,2,3302,3082,
862,2,3303,3083,
863,2,3304,3084,
864,2,3305,3085,
865,2,3306,3086,
866,2,3307,3087,
867,2,3308,3088,
868,2,3309,3089,
869,2,3310,3090,
870,2,3311,3091,
